1,140,23
2,589,90
3,108,63
4,966,71
5,185,64
6,333,33
7,30,99
8,41,26
9,236,49
10,672,26
11,371,53
12,401,54
13,874,39
14,438,41
15,308,100
16,541,93
17,775,92
18,912,53
19,18,34
20,390,15
21,752,75
22,350,21
23,469,63
24,117,11
25,98,8
26,207,89
27,635,70
28,938,48
29,30,26
30,575,21
31,188,14
32,373,67
33,934,20
34,79,89
35,807,71
36,565,84
37,692,74
38,787,82
39,614,94
40,261,97
41,336,39
42,985,5
43,126,25
44,794,47
45,487,100
46,476,45
47,503,31
48,588,50
49,711,100
50,123,81
51,293,49
52,733,66
53,58,90
54,522,84
55,535,19
56,724,9
57,238,63
58,623,84
59,820,94
60,594,77
61,927,50
62,816,98
63,579,56
64,480,61
65,24,75
66,940,24
67,284,41
68,271,26
69,198,100
70,344,33
71,782,9
72,669,32
73,440,30
74,181,73
75,56,60
76,616,72
77,444,69
78,583,77
79,153,39
80,609,15
81,444,42
82,504,76
83,499,46
84,62,52
85,965,39
86,697,96
87,964,67
88,291,31
89,283,63
90,591,84
91,720,70
92,289,28
93,52,79
94,976,62
95,35,67
96,34,14
97,708,20
98,254,53
99,291,8
100,518,25
101,733,92
102,976,82
103,598,61
104,799,86
105,224,42
106,955,71
107,340,78
108,219,5
109,306,91
110,107,38
111,754,35
112,432,45
113,907,5
114,801,34
115,702,58
116,286,20
117,13,54
118,376,41
119,231,53
120,652,26
121,516,71
122,117,48
123,680,50
124,835,8
125,102,91
126,587,11
127,833,14
128,612,20
129,819,66
130,302,48
131,174,80
132,301,92
133,308,12
134,609,32
135,456,91
136,349,26
137,163,78
138,291,60
139,70,11
140,305,29
141,725,70
142,439,88
143,164,14
144,459,40
145,567,69
146,897,72
147,423,14
148,971,61
149,998,29
150,420,34
151,359,67
152,642,41
153,964,25
154,604,87
155,750,28
156,920,69
157,335,70
158,927,37
159,602,92
160,855,54
161,665,34
162,169,85
163,199,58
164,735,37
165,668,92
166,981,89
167,574,42
168,500,26
169,411,6
170,569,12
171,574,83
172,257,71
173,37,31
174,2,36
175,830,24
176,455,50
177,619,71
178,122,31
179,627,72
180,185,51
181,301,26
182,655,87
183,441,49
184,355,65
185,706,22
186,769,8
187,152,15
188,663,54
189,310,6
190,494,26
191,22,71
192,589,96
193,261,89
194,285,95
195,478,5
196,782,12
197,10,15
198,156,100
199,757,67
200,264,70
